,concepts,description,related
970,Heterorete,"Hexactinellid sponges are sponges with a skeleton made of four- and/or six-pointed siliceous spicules, often referred to as glass sponges. They are usually classified along with other sponges in the phylum Porifera, but some researchers consider them sufficiently distinct to deserve their own phylum, Symplasma.","Hexasterophora, Lyssacinosida, Sceptrulophora, Taxonomy of invertebrates (Brusca & Brusca, 2003)"
971,Heterorete sp.,"Hexactinellid sponges are sponges with a skeleton made of four- and/or six-pointed siliceous spicules, often referred to as glass sponges. They are usually classified along with other sponges in the phylum Porifera, but some researchers consider them sufficiently distinct to deserve their own phylum, Symplasma.","Hexasterophora, Lyssacinosida, Sceptrulophora, Taxonomy of invertebrates (Brusca & Brusca, 2003)"
972,Heteroscleromorpha,Heteroscleromorpha is a subclass of demosponges within the phylum Porifera.,"Demosponge, Entobia, Spongillida, Haplosclerida"
973,Heterozonias alternatus,"The Solasteridae are a family of sea stars. The Solasteridae are a family of sea stars. The Valvatida are an order of starfish in the class Asteroidea, which contains 695 species in 172 genera in 17 families.",Patellapis
974,Hexacorallia,"Hexacorallia is a class of Anthozoa comprising approximately 4,300 species of aquatic organisms formed of polyps, generally with 6-fold symmetry. It includes all of the stony corals, most of which are colonial and reef-forming, as well as all sea anemones, and zoanthids, arranged within five extant orders.","Anthozoa, Sea anemone, Zoantharia, Black coral"
975,Hexactinella,"Tretodictyidae is a family of glass sponges in the order Sceptrulophora. Tretodictyidae is a family of glass sponges in the order Sceptrulophora. Sceptrulophora (from Ancient Greek, σκῆπτρον, skêptron - ""sceptre"" and -φόρος, -phóros - ""bearing"") is an order of hexactinellid sponges (glass sponges). They are characterized by sceptrules, a type of microsclere (microscopic spicule) with a single straight rod terminating at a bundle of spines or knobs.","2016 in paleontology, Taxonomy of commonly fossilised invertebrates, List of organisms named after famous people (born 1800–1899), List of prehistoric sponge genera"
976,Hexactinellida,"Hexactinellid sponges are sponges with a skeleton made of four- and/or six-pointed siliceous spicules, often referred to as glass sponges. They are usually classified along with other sponges in the phylum Porifera, but some researchers consider them sufficiently distinct to deserve their own phylum, Symplasma.","Sponge, Cnidaria, Siliceous sponge, List of animal classes"
977,Hexactinellida sp. 1,"Hexactinellid sponges are sponges with a skeleton made of four- and/or six-pointed siliceous spicules, often referred to as glass sponges. They are usually classified along with other sponges in the phylum Porifera, but some researchers consider them sufficiently distinct to deserve their own phylum, Symplasma.","Sponge, Cnidaria, Siliceous sponge, List of animal classes"
978,Hexactinellida sp. 2,"Hexactinellid sponges are sponges with a skeleton made of four- and/or six-pointed siliceous spicules, often referred to as glass sponges. They are usually classified along with other sponges in the phylum Porifera, but some researchers consider them sufficiently distinct to deserve their own phylum, Symplasma.","Sponge, Cnidaria, Siliceous sponge, List of animal classes"
979,Hexactinellida sp. 3,"Hexactinellid sponges are sponges with a skeleton made of four- and/or six-pointed siliceous spicules, often referred to as glass sponges. They are usually classified along with other sponges in the phylum Porifera, but some researchers consider them sufficiently distinct to deserve their own phylum, Symplasma.","Sponge, Cnidaria, Siliceous sponge, List of animal classes"
980,Hexactinellida sp. 4,"Hexactinellid sponges are sponges with a skeleton made of four- and/or six-pointed siliceous spicules, often referred to as glass sponges. They are usually classified along with other sponges in the phylum Porifera, but some researchers consider them sufficiently distinct to deserve their own phylum, Symplasma.","Sponge, Cnidaria, Siliceous sponge, List of animal classes"
981,Hexactinellida sp. 5,"Hexactinellid sponges are sponges with a skeleton made of four- and/or six-pointed siliceous spicules, often referred to as glass sponges. They are usually classified along with other sponges in the phylum Porifera, but some researchers consider them sufficiently distinct to deserve their own phylum, Symplasma.","Sponge, Cnidaria, Siliceous sponge, List of animal classes"
982,Hexactinellida sp. 6,"Hexactinellid sponges are sponges with a skeleton made of four- and/or six-pointed siliceous spicules, often referred to as glass sponges. They are usually classified along with other sponges in the phylum Porifera, but some researchers consider them sufficiently distinct to deserve their own phylum, Symplasma.","Sponge, Cnidaria, Siliceous sponge, List of animal classes"
983,Hexanchus griseus,"The bluntnose sixgill shark (Hexanchus griseus), often simply called the cow shark, is the largest hexanchoid shark, growing to 20 ft (6. 1 m) in length.","Hexanchus, Atlantic sixgill shark, Cow shark, List of fish of the Mediterranean Sea"
984,Hexapathes,"Antipatharians, also known as black corals or thorn corals, are an order of soft deep-water corals. These corals can be recognized by their jet-black or dark brown chitin skeletons, surrounded by the polyps (part of coral that is alive).",Cladopathidae
985,Hexapathes australiensis,"Antipatharians, also known as black corals or thorn corals, are an order of soft deep-water corals. These corals can be recognized by their jet-black or dark brown chitin skeletons, surrounded by the polyps (part of coral that is alive).",Cladopathidae
986,Hexapathes heterosticha,"Antipatharians, also known as black corals or thorn corals, are an order of soft deep-water corals. These corals can be recognized by their jet-black or dark brown chitin skeletons, surrounded by the polyps (part of coral that is alive).",Cladopathidae
987,Hexatrygon bickelli,"The sixgill stingray (Hexatrygon bickelli) is a species of stingray and the only extant member of the family Hexatrygonidae. Although several species of sixgill stingrays have been described historically, they may represent variations in a single, widespread species.","Stingray, Deepwater stingray, List of cartilaginous fish, List of marine fishes of South Africa"
988,Hippasteria,"Hippasteria is one of 70 genera of sea star in the diverse family Goniasteridae. Hippasteria muscipula is one of twelve species of deep-sea sea star in the genus Hippasteria, which is in the family Goniasteridae.","Hippasteria muscipula, Hippasteria phrygiana, Starfish, Powan"
989,Hippasteria californica,"Hippasteria is one of 70 genera of sea star in the diverse family Goniasteridae. Hippasteria is one of 70 genera of sea star in the diverse family Goniasteridae. Hippasteria muscipula is one of twelve species of deep-sea sea star in the genus Hippasteria, which is in the family Goniasteridae.","Hippasteria muscipula, Hippasteria phrygiana, Starfish, Powan"
990,Hippasteria imperialis,"Hippasteria is one of 70 genera of sea star in the diverse family Goniasteridae. Hippasteria is one of 70 genera of sea star in the diverse family Goniasteridae. Hippasteria muscipula is one of twelve species of deep-sea sea star in the genus Hippasteria, which is in the family Goniasteridae.","Paleobiota of the London Clay, Vermes in the 10th edition of Systema Naturae"
991,Hippasteria lepidonotus,"Hippasteria is one of 70 genera of sea star in the diverse family Goniasteridae. Hippasteria is one of 70 genera of sea star in the diverse family Goniasteridae. Hippasteria muscipula is one of twelve species of deep-sea sea star in the genus Hippasteria, which is in the family Goniasteridae.","Hippasteria muscipula, Hippasteria phrygiana, Starfish, Powan"
992,Hippasteria muscipula,"Hippasteria muscipula is one of twelve species of deep-sea sea star in the genus Hippasteria, which is in the family Goniasteridae.",Hippasteria
993,Hirudinea,"Leeches are segmented parasitic or predatory worms that comprise the subclass Hirudinea within the phylum Annelida. They are closely related to the oligochaetes, which include the earthworm, and like them have soft, muscular segmented bodies that can lengthen and contract.","Clitellata, Turtle leech, Helobdella, Hirudo medicinalis"
994,Histiobranchus bathybius,"The deepwater arrowtooth eel, Histiobranchus  bathybius, is a cutthroat eel of the genus Histiobranchus, found globally.","Histiobranchus, List of fish common names, List of fish of Ireland, List of fishes of Great Britain"
995,Histioteuthis,"Histioteuthis is a genus of squid in the family Histioteuthidae. It goes by the common name cock-eyed squid, because in all species the right eye is normal-sized, round, blue and sunken; whereas the left eye is at least twice the diameter of the right eye, tubular, yellow-green, faces upward, and bulges out of the head.","Histioteuthis heteropsis, Histioteuthis reversa, Histioteuthis bonnellii, Histioteuthis meleagroteuthis"
996,Histioteuthis heteropsis,"Histioteuthis heteropsis (H. heteropsis), also known as the strawberry squid, is a species of small cock-eyed squid. Histioteuthis is a genus of squid in the family Histioteuthidae. It goes by the common name cock-eyed squid, because in all species the right eye is normal-sized, round, blue and sunken; whereas the left eye is at least twice the diameter of the right eye, tubular, yellow-green, faces upward, and bulges out of the head.","Histioteuthis, Heteropsis, Histioteuthis meleagroteuthis, Histioteuthidae"
997,Histocidaris,"Histocidaris is a genus of sea urchins in the family Histocidaridae. Some species are known from the fossil record. Histocidaridae is a family of sea urchins. Cidaroida is an order of primitive sea urchins, the only living order of the subclass Perischoechinoidea. All other orders of this subclass, which were even more primitive than the living forms, became extinct during the Mesozoic.","Histocidaris elegans, Cidaroida, Loma Candela Formation, Histocidaridae"
998,Histocidaris carinata,Histocidaris is a genus of sea urchins in the family Histocidaridae. Some species are known from the fossil record. Histocidaris is a genus of sea urchins in the family Histocidaridae. Some species are known from the fossil record.,"Histocidaris elegans, Cidaroida, Loma Candela Formation, Histocidaridae"
999,Histocidaris variabilis,Histocidaris is a genus of sea urchins in the family Histocidaridae. Some species are known from the fossil record. Histocidaris is a genus of sea urchins in the family Histocidaridae. Some species are known from the fossil record.,"Cidaroida, Histocidaridae"
1000,Holacanthus passer,"Holacanthus passer (king angelfish or passer angelfish) is a large marine angelfish of the family Pomacanthidae. Its large size and bright colors make it a popular aquarium fish, even though it can be difficult to keep.","Holacanthus, Queen angelfish, List of marine aquarium fish species, List of least concern perciform fishes"
1001,Hollardia,"Hollardia is a genus of spikefishes native to deep waters of the western Atlantic Ocean and the Pacific Ocean from around Hawaii. The Tetraodontiformes  are an order of highly derived ray-finned fish, also called the Plectognathi. Sometimes these are classified as a suborder of the order Perciformes.","Spikefish, Coral Sea, List of trilobite genera"
1002,Hollardia goslinei,"Hollardia is a genus of spikefishes native to deep waters of the western Atlantic Ocean and the Pacific Ocean from around Hawaii. The Tetraodontiformes  are an order of highly derived ray-finned fish, also called the Plectognathi. Sometimes these are classified as a suborder of the order Perciformes.",Coral Sea
1003,Holocentridae,"Holocentridae is a family of ray-finned fish, the only family of the order Holocentriformes. The members of the subfamily Holocentrinae are typically known as squirrelfish, while the members of Myripristinae typically are known as soldierfish.","Japanese soldierfish, Blotcheye soldierfish, Holocentrinae, Sargocentron rubrum"
1004,Holothuria (Vaneyothuria) zacae,"Holothuria is the type genus of the marine animal family Holothuriidae, part of the class Holothuroidea, commonly known as sea cucumbers. Members of the genus are found in coastal waters in tropical and temperate regions.",List of least concern invertebrates
1005,Holothuroidea,"Sea cucumbers are echinoderms from the class Holothuroidea (). They are marine animals with a leathery skin and an elongated body containing a single, branched gonad.","Trepang, Gamat, Cucumber (disambiguation), Enypniastes"
1006,Holothuroidea sp. 3,"Sea cucumbers are echinoderms from the class Holothuroidea (). They are marine animals with a leathery skin and an elongated body containing a single, branched gonad.","Trepang, Gamat, Cucumber (disambiguation), Enypniastes"
1007,Holothuroidea sp. 4,"Sea cucumbers are echinoderms from the class Holothuroidea (). They are marine animals with a leathery skin and an elongated body containing a single, branched gonad.","Trepang, Gamat, Cucumber (disambiguation), Enypniastes"
1008,Holothuroidea sp. 6,"Sea cucumbers are echinoderms from the class Holothuroidea (). They are marine animals with a leathery skin and an elongated body containing a single, branched gonad.","Trepang, Gamat, Cucumber (disambiguation), Enypniastes"
1009,Holothuroidea/Actiniaria,The biological systematics and  taxonomy of invertebrates as proposed by Richard C. Brusca and Gary J.,"Taxonomy of the animals (Hutchins et al., 2003), List of animals of Long Island Sound, List of marine animals of Australia (temperate waters), List of marine animals of the Cape Peninsula and False Bay"
1010,Holtbyrnia innesi,"Holtbyrnia is a genus of tubeshoulders. Holtbyrnia is a genus of tubeshoulders. The tubeshoulders are a family, Platytroctidae, of ray-finned fish belonging to the order Alepocephaliformes. They are found throughout the world, except for the Mediterranean Sea.",List of least concern fishes
1011,Homerpro,Homerpro equipment, 
1012,Homeryon asper,"Homeryon is a genus of blind, deep-sea crustaceans. It is named after the blind Greek poet Homer and the genus Eryon, which contains fossil relatives of the modern Polychelidae.","Polychelidae, List of least concern arthropods, List of data deficient invertebrates, List of data deficient arthropods"
1013,Homola,"The family Homolidae, known as carrier crabs or porter crabs, contains 14 genera of marine crabs. They mostly live on the continental slope and continental shelf, and are rarely encountered. Homoloidea is a superfamily of dromiacean crabs. Homoloidea belongs the group Dromiacea, taxonomically ranked as a section, and is the sister group to Dromioidea.","Crab, Dromiacea, Paromola, Homolodromiidae"
1014,Homolidae,"The family Homolidae, known as carrier crabs or porter crabs, contains 14 genera of marine crabs. They mostly live on the continental slope and continental shelf, and are rarely encountered. Homoloidea is a superfamily of dromiacean crabs. Homoloidea belongs the group Dromiacea, taxonomically ranked as a section, and is the sister group to Dromioidea.","Crab, Dromiacea, Paromola, Homolodromiidae"
1015,Hoplolatilus,"Hoplolatilus is a genus of tilefishes native to the Indian Ocean and the western Pacific Ocean. The chameleon tilefish (Hoplolatilus chlupatyi), also known as the flashing tilefish, is well known in particular in the aquarium hobby due to its unique ability to change colors in an instant with the help of specialized proteins in its skin that can reflect light in different wavelengths, allowing it to cycle between primary and secondary colors on the light spectrum.","Tilefish, Hoplolatilus marcosi, Hoplolatilus purpureus, Hoplolatilus starcki"
1016,Hoplostethus,"The orange roughy (Hoplostethus atlanticus), also known as the red roughy, slimehead and deep sea perch, is a relatively large deep-sea fish belonging to the slimehead family (Trachichthyidae). The UK Marine Conservation Society has categorized orange roughy as ""vulnerable to exploitation"".","Hoplostethus, Slimehead, Hoplostethus confinis, Hoplostethus mento"
1017,Hoplostethus crassispinus,"Hoplostethus crassispinus is a species of slimehead found in the Pacific Ocean. It can be found in Hawaii and the Kyushu–Palau Ridge and possibly off the coast of Vietnam. The orange roughy (Hoplostethus atlanticus), also known as the red roughy, slimehead and deep sea perch, is a relatively large deep-sea fish belonging to the slimehead family (Trachichthyidae). The UK Marine Conservation Society has categorized orange roughy as ""vulnerable to exploitation"".","Hoplostethus, List of data deficient fishes"
1018,Hoplostethus/Gephyroberyx,"Slimeheads, also known as roughies and redfish, are mostly small, exceptionally long-lived, deep-sea beryciform fish constituting the family Trachichthyidae (derived from the Greek trachys – ""rough"" and ichthys – ""fish""). Found in temperate to tropical waters of the Atlantic, Indian, and Pacific Oceans, the family comprises about 50 species in eight genera.","List of fish of the Mediterranean Sea, List of prehistoric bony fish genera, List of marine spiny-finned fishes of South Africa, List of least concern fishes"
1019,Hormathia,Cereus pedunculatus or the daisy anemone is a species of sea anemone in the family Sagartiidae. It is found in shallow parts of the northeast Atlantic Ocean and in the North Sea and the Mediterranean Sea.,"Pagurus bernhardus, Hormathiidae, List of cnidarians of Ireland"
1020,Hormathiidae,Hormathiidae is a family of sea anemones in the class Anthozoa. Metridioidea is a superfamily of sea anemones in the order Actiniaria. The Enthemonae is a suborder of sea anemones in the order Actiniaria. It comprises those sea anemones with typical arrangement of mesenteries for actiniarians.,"Adamsia, Adamsia palliata, Calliactis, List of sea anemone families"
1021,Hormathiidae sp. 1,Hormathiidae is a family of sea anemones in the class Anthozoa. Metridioidea is a superfamily of sea anemones in the order Actiniaria. The Enthemonae is a suborder of sea anemones in the order Actiniaria. It comprises those sea anemones with typical arrangement of mesenteries for actiniarians.,"Adamsia, Adamsia palliata, Calliactis, List of sea anemone families"
1022,Hormiphora,Hormiphora is a genus of comb jellies of the family Pleurobrachiidae. The genus was erected by Louis Agassiz in 1860. Pleurobrachiidae is a family of ctenophores belonging to the order Cydippida. Genera:.,"Hormiphora plumosa, Pleurobrachia, Ctenophora, Tentaculata"
1023,Hormiphora californensis,"Euplokamis is a genus of ctenophores, or comb jellies, belonging to the monotypic family Euplokamididae. It shares the common name sea gooseberry with species of the genus Pleurobrachia.","List of sequenced animal genomes, List of invertebrates of California"
1024,Hyalocylis striata,"Hyalocylis is a genus of gastropods belonging to the family Hyalocylidae. The genus has almost cosmopolitan distribution. The family Hyalocylidae is a taxonomic group of small floating sea snails, pelagic marine opisthobranch gastropod mollusks.","Pteropoda, Hyalocylidae, Cavoliniidae"
1025,Hyalonema,"Monorhaphis is a monotypic genus of siliceous deep sea Hexactinellid sponges. The single species is the type species Monorhaphis chuni, a sponge known for creating a single giant basal spicule (G. Hyalonematidae is a family of sponges belonging to the order Amphidiscosida. Genera:.","Myxine, Hyalonematidae, Asiatic Society of Japan, Amphidiscosida"
1026,Hyalonema (Corynonema) populiferum,"Monorhaphis is a monotypic genus of siliceous deep sea Hexactinellid sponges. The single species is the type species Monorhaphis chuni, a sponge known for creating a single giant basal spicule (G. Hyalonematidae is a family of sponges belonging to the order Amphidiscosida. Genera:.","Myxine, Hyalonematidae, Asiatic Society of Japan, Amphidiscosida"
1027,Hyalonema (Corynonema) sp.,"Monorhaphis is a monotypic genus of siliceous deep sea Hexactinellid sponges. The single species is the type species Monorhaphis chuni, a sponge known for creating a single giant basal spicule (G. Hyalonematidae is a family of sponges belonging to the order Amphidiscosida. Genera:.","Myxine, Hyalonematidae, Asiatic Society of Japan, Amphidiscosida"
1028,Hyalonema (Oonema) bianchoratum,"Monorhaphis is a monotypic genus of siliceous deep sea Hexactinellid sponges. The single species is the type species Monorhaphis chuni, a sponge known for creating a single giant basal spicule (G. Hyalonematidae is a family of sponges belonging to the order Amphidiscosida. Genera:.","Myxine, Hyalonematidae, Asiatic Society of Japan, Amphidiscosida"
1029,Hyalonema sp. 1,"Monorhaphis is a monotypic genus of siliceous deep sea Hexactinellid sponges. The single species is the type species Monorhaphis chuni, a sponge known for creating a single giant basal spicule (G. Hyalonematidae is a family of sponges belonging to the order Amphidiscosida. Genera:.","Myxine, Hyalonematidae, Asiatic Society of Japan, Amphidiscosida"
1030,Hyalonematidae,Hyalonematidae is a family of sponges belonging to the order Amphidiscosida. Genera:.,"Amphidiscosida, 2022 in paleontology, 2016 in paleontology, List of sponges of South Africa"
1031,Hyalostylus,Hyalostylus is a genus of sponges belonging to the family Euplectellidae. The species of this genus are found in Pacific Ocean.,"Euplectellidae, Musicians Seamounts"
1032,Hydractiniidae,"Hydractiniidae is a cnidarian family of athecate hydroids. Washingtonia filifera, the desert fan palm, California fan palm, or California palm, is a flowering plant in the palm family Arecaceae, native to the far southwestern United States and Baja California, Mexico. Growing to 15–20 m (49–66 ft) tall by 3–6 m (10–20 ft) broad, it is an evergreen monocot with a tree-like growth habit.","Hirohito, Clava multicornis, Hydractinia, Anthoathecata"
1033,Hydrate Synthesis Chamber,"Hydrazine is an inorganic compound with the chemical formula N2H4. It is a simple pnictogen hydride, and is a colourless flammable liquid with an ammonia-like odour.","Sodium hydroxide, Sulfuric acid, Ethanol, Freeze drying"
1034,Hydrodendron,Hydrodendron is a genus of cnidarians belonging to the monotypic family Phylactothecidae. The species of this genus are found in all oceans.,"List of hydroids of the Houtman Abrolhos, List of marine cnidarians of South Africa"
1035,Hydrodendron gorgonoide,Hydrodendron is a genus of cnidarians belonging to the monotypic family Phylactothecidae. The species of this genus are found in all oceans.,"List of hydroids of the Houtman Abrolhos, List of marine cnidarians of South Africa"
1036,Hydroidolina,"Hydroidolina is a subclass of Hydrozoa and makes up 90% of the class. Controversy surrounds who the sister groups of Hydroidolina are, but research has shown that three orders remain consistent as direct relatives: Siphonophorae, Anthoathecata, and Leptothecata.","Hydrozoa, Paraphyly, Siphonophorae, Leptothecata"
1037,Hydrolagus,"Hydrolagus is a genus of fish in the family Chimaeridae found in the Atlantic, Indian and Pacific Oceans. The Chimaeridae, or short-nosed chimaeras, are a family of cartilaginous fish.","Spotted ratfish, Chimaera, Chimaeridae, Hydrolagus matallanasi"
1038,Hydrolagus cf. trolli,"Hydrolagus is a genus of fish in the family Chimaeridae found in the Atlantic, Indian and Pacific Oceans. Hydrolagus is a genus of fish in the family Chimaeridae found in the Atlantic, Indian and Pacific Oceans.","Pointy-nosed blue chimaera, Chimaeridae, Ray Troll, List of chimaeras"
1039,Hydrolagus colliei,"The spotted ratfish (Hydrolagus colliei) is a chimaera found in the north-eastern Pacific Ocean. Often seen by divers at night in the Pacific Northwest, this cartilaginous fish gets its characteristic name from a pointed rat-like tail.","Hydrolagus, Chimaera, Chimaeridae, List of chimaeras"
1040,Hydrolagus melanophasma,"The Eastern Pacific black ghostshark (Hydrolagus melanophasma, literally a combination of ""water rabbit"" and ""black ghost"") is a species of fish in the family Chimaeridae. Despite its name, it does not belong to the clade Selachii used for the modern classification of sharks.","Hydrolagus, Chimaera, Chimaeridae, List of chimaeras"
1041,Hydrolagus trolli,"Hydrolagus is a genus of fish in the family Chimaeridae found in the Atlantic, Indian and Pacific Oceans. Hydrolagus is a genus of fish in the family Chimaeridae found in the Atlantic, Indian and Pacific Oceans.","Pointy-nosed blue chimaera, Chimaeridae, Ray Troll, List of chimaeras"
1042,Hydromedusae,"Hydrozoa (hydrozoans; from Ancient Greek  ὕδωρ (húdōr) 'water', and  ζῷον (zôion) 'animal') is a taxonomic class of individually very small, predatory animals, some solitary and some colonial, most of which inhabit saline water. The colonies of the colonial species can be large, and in some cases the specialized individual animals cannot survive outside the colony.","Aequorea victoria, Jellyfish, Crossota, Scyphozoa"
1043,Hydrozoa,"Hydrozoa (hydrozoans; from Ancient Greek  ὕδωρ (húdōr) 'water', and  ζῷον (zôion) 'animal') is a taxonomic class of individually very small, predatory animals, some solitary and some colonial, most of which inhabit saline water. The colonies of the colonial species can be large, and in some cases the specialized individual animals cannot survive outside the colony.","Turritopsis dohrnii, Medusozoa, Cnidaria, Portuguese man o' war"
1044,Hymenaster,"Pterasteridae is a family of sea stars in the order Velatida, consisting of eight genera.","Velatida, Marine plastic pollution, Maureen Downey"
1045,Hymenaster koehleri,"Pterasteridae is a family of sea stars in the order Velatida, consisting of eight genera.","Velatida, Marine plastic pollution, Maureen Downey"
1046,Hymenaster pentagonalis,"Pterasteridae is a family of sea stars in the order Velatida, consisting of eight genera.","Velatida, Marine plastic pollution, Maureen Downey"
1047,Hymenaster sp.,"Pterasteridae is a family of sea stars in the order Velatida, consisting of eight genera.","Velatida, Marine plastic pollution, Maureen Downey"
1048,Hymenocephalus,"Grenadiers or rattails are generally large, brown to black gadiform marine fish of the subfamily Macrourinae, the largest subfamily of the family Macrouridae. Found at great depths from the Arctic to Antarctic, members of this subfamily are amongst the most abundant of the deep-sea fish.","Macrouridae, Albatrossia, Macrourus berglax, Abyssal grenadier"
1049,Hymenodiscus,"The Brisingidae are a family of starfish found only in the deep sea. They inhabit both the Atlantic and Pacific Oceans at abyssal depths, and also occur in the Southern Ocean and around Antarctica at slightly shallower depths.","Brisingida, Freyellidae"
1050,Hymenodora,"Hymenodora is a genus of shrimp, containing four species, which collectively have a southern circumpolar distribution. The Caridea, commonly known as caridean shrimp or true shrimp, from the Greek word καρίς, καρίδος (karís, karídos, “shrimp”), are an infraorder of shrimp within the order Decapoda. This infraorder contains all species of true shrimp.","Hymenodora glacialis, Caridea, Oplophoridae, List of marine crustaceans of South Africa"
1051,Hymenodora frontalis,"Hymenodora is a genus of shrimp, containing four species, which collectively have a southern circumpolar distribution. The Caridea, commonly known as caridean shrimp or true shrimp, from the Greek word καρίς, καρίδος (karís, karídos, “shrimp”), are an infraorder of shrimp within the order Decapoda. This infraorder contains all species of true shrimp.",List of marine crustaceans of South Africa
1052,Hymenopenaeus,"Hymenopenaeus is a genus of prawns containing 17 species. Solenoceridae is a family of decapods, containing 10 genera. Members of this family are marine, inhabiting shallow and offshore waters from the mid-continental shelf, ranging from depths to 1000 meters deep.","Hymenopenaeus doris, Hymenopenaeus furici, Hymenopenaeus fallax, Hymenopenaeus methalli"
1053,Hymenopenaeus doris,"Hymenopenaeus doris is a species of prawn in the family Solenoceridae. The species lives in the Eastern Pacific in areas like Mexico, Peru, and Costa Rica, from depths of 549 to 4802 meters.",Hymenopenaeus
1054,Hyocrinida,"Hyocrinida is an order of sea lilies which contains a single extant family, Hyocrinidae.","Crinoid, Articulata (Crinoidea), List of echinoderm orders, List of crinoid genera"
1055,Hyocrinidae,"Hyocrinidae is a family of echinoderms belonging to the order Hyocrinida. Genera:. Hyocrinida is an order of sea lilies which contains a single extant family, Hyocrinidae.","Hyocrinida, Articulata (Crinoidea), List of crinoid genera"
1056,Hyocrinus,"Hyocrinida is an order of sea lilies which contains a single extant family, Hyocrinidae. Hyocrinida is an order of sea lilies which contains a single extant family, Hyocrinidae.","Hyocrinidae, List of crinoid genera"
1057,Hyperiidae,"The Hyperiidae are a family of amphipods, containing these genera:. Physocephalatidira is a parvorder of plankton in the sub-order Hyperiidea. It is the only taxon within the infraorder Physocephalata, making its parent a monotypic taxon.","Hyperia macrocephala, Themisto (crustacean), Hyperiidea, Hyperia (crustacean)"
1058,Hyporthodus octofasciatus,"Hyporthodus is a genus of marine ray-finned fish, groupers from the subfamily Epinephelinae, part of the family Serranidae, which also includes the anthias and sea basses. It contains the following species, most of which were previously placed in Epinephelus:.","Grouper, Giant grouper, Atlantic goliath grouper, Epinephelus octofasciatus"
1059,Icelinus,"Icelinusis a genus of marine ray-finned fishes belonging to the family Cottidae, the typical sculpins. These fishes are found in the northern and eastern Pacific Ocean.","Icelinus borealis, Threadfin sculpin, Kudoa thyrsites, List of fishes of the Salish Sea"
1060,Icelinus filamentosus,"The threadfin sculpin (Icelinus filamentosus) is a large, deep-water sculpin of the family Cottidae. It occurs in the North Pacific Ocean from Chirikof Island in the western Gulf of Alaska to Point Loma and Cortez Bank, southern California, USA.","Icelinus, Kudoa thyrsites, List of fishes of the Salish Sea, List of least concern fishes"
1061,Icichthys lockingtoni,"Icichthys lockingtoni, commonly known as the medusafish, is a species of medusafish native to the northern Pacific Ocean, where it ranges from Japan and the Gulf of Alaska to central Baja California in Mexico. It typically occurs at a depth of 0 to 91 m (0 to 299 ft), although it has been reported from as deep as 900 m (2953 ft).","Icichthys, Medusafish, Prowfish, Hubbs' beaked whale"
1062,Icosteus aenigmaticus,"The ragfish (Icosteus aenigmaticus) is a ray-finned fish of the northern Pacific Ocean; although a perciform, its skeleton is mostly cartilage, and the larvae have pelvic fins that disappear as they mature. It is the sole member of the family Icosteidae, and some authorities place it into its own order Icosteiformes.","Aenigmaticus, List of fishes of the Salish Sea"
1063,Ijimaia plicatellus,"Ijimaia plicatellus is a species of jellynose fish in the family Ateleopodidae. Their distribution is in the Eastern Central Pacific near Hawaii, at depths from 265 to 500 meters. Ijimaia is a genus of jellynose fishes, one of four in the order Ateleopodiformes.","Ijimaia, Jellynose fish, Guentherus"
1064,Ijimaia/Ateleopus,"The jellynose fishes or tadpole fishes are the small order Ateleopodiformes. This group of ray-finned fish is monotypic, containing a single family Ateleopodidae.","Guentherus, List of least concern fishes, List of marine animals of the Cape Peninsula and False Bay, List of marine bony fishes of South Africa"
1065,Ilyophinae,"Dysommina is a genus of eels in the family Synaphobranchidae. It currently contains the following species:. Eels are ray-finned fish belonging to the order Anguilliformes (), which consists of eight suborders, 19 families, 111 genera, and about 800 species. Eels undergo considerable development from the early larval stage to the eventual adult stage and are usually predators.","Linkenchelys, Thermobiotes, Ilyophis, Meadia"
1066,Ilyophis,"Ilyophis is a genus of eels in the cutthroat eel family Synaphobranchidae. Eels are ray-finned fish belonging to the order Anguilliformes (), which consists of eight suborders, 19 families, 111 genera, and about 800 species. Eels undergo considerable development from the early larval stage to the eventual adult stage and are usually predators.","Ilyophis arx, Ilyophis robinsae, Ilyophis blachei, Ilyophis nigeli"
1067,Ilyophis arx,"Ilyophis arx is an eel in the family Synaphobranchidae (cutthroat eels). It was described by Catherine H. Eels are ray-finned fish belonging to the order Anguilliformes (), which consists of eight suborders, 19 families, 111 genera, and about 800 species. Eels undergo considerable development from the early larval stage to the eventual adult stage and are usually predators.","Ilyophis, List of fishes of Great Britain, List of fish of Ireland"
1068,Ilyophis blachei,"Ilyophis blachei is an eel in the family Synaphobranchidae (cutthroat eels). It was described by Luiz Vieria Caldas Saldanha and Nigel Merrett in 1982. Eels are ray-finned fish belonging to the order Anguilliformes (), which consists of eight suborders, 19 families, 111 genera, and about 800 species. Eels undergo considerable development from the early larval stage to the eventual adult stage and are usually predators.","Ilyophis, List of fish of Ireland, List of fishes of Great Britain"
1069,Ilyophis sp.,"Ilyophis is a genus of eels in the cutthroat eel family Synaphobranchidae. Eels are ray-finned fish belonging to the order Anguilliformes (), which consists of eight suborders, 19 families, 111 genera, and about 800 species. Eels undergo considerable development from the early larval stage to the eventual adult stage and are usually predators.","Ilyophis arx, Ilyophis robinsae, Ilyophis blachei, Ilyophis nigeli"
1070,ink,ink, 
1071,Ink Dispenser,Ink Dispenser equipment, 
